"","X","stationid","Year","Month","Aqstime","Sate_AOD","AERONET_AOD"
"2064",2064,70,2012,2,"2012-02-28 14:00:00",0.174000008265,0.168433109244
"2065",2065,70,2012,3,"2012-03-01 13:50:00",0.33350001584,0.066131769966
"2066",2066,70,2012,3,"2012-03-16 13:05:00",0.410000019474,0.209703098098
"2067",2067,70,2012,4,"2012-04-07 14:10:00",0.216000010259,0.0951328949737
"2068",2068,70,2012,4,"2012-04-11 13:45:00",0.357000016957,0.110625403803
"2069",2069,70,2012,4,"2012-04-23 14:10:00",0.170000008075,0.0842020197982
"2070",2070,70,2012,4,"2012-04-24 13:15:00",0.348000016529,0.079084227541
"2071",2071,70,2012,6,"2012-06-11 13:15:00",0.157000007457,0.150711980798
"2072",2072,70,2012,6,"2012-06-25 13:25:00",0.424000020139,0.233141679841
"2073",2073,70,2012,11,"2012-11-18 13:10:00",0.14000000665,0.0882957301314
"2074",2074,70,2013,1,"2013-01-16 12:55:00",0.331000015722,0.377996529447
"2075",2075,70,2013,1,"2013-01-24 13:45:00",0.675000032061,0.295148625281
"2076",2076,70,2013,1,"2013-01-26 13:30:00",0.560000026599,0.434369694624
"2077",2077,70,2013,1,"2013-01-28 13:20:00",0.214500010188,0.209195516275
"2078",2078,70,2013,1,"2013-01-29 14:00:00",0.351000016672,0.392351950291
"2079",2079,70,2013,1,"2013-01-30 13:05:00",0.168500008003,0.0912247455513
"2080",2080,70,2013,1,"2013-01-31 13:50:00",0.205000009737,0.11440595682
"2081",2081,70,2013,2,"2013-02-01 12:55:00",0.496000023559,0.211484238812
"2082",2082,70,2013,2,"2013-02-09 13:45:00",0.251000011922,0.153796735684
"2083",2083,70,2013,2,"2013-02-14 14:00:00",0.234000011114,0.103097870679
"2084",2084,70,2013,3,"2013-03-05 12:55:00",0.452000021469,0.265751677716
"2085",2085,70,2013,3,"2013-03-10 13:15:00",0.922000043793,0.56282657546
"2086",2086,70,2013,3,"2013-03-24 13:25:00",0.695500033034,0.337633385205
"2087",2087,70,2013,3,"2013-03-25 14:10:00",0.562000026694,0.709490655759
"2088",2088,70,2013,3,"2013-03-26 13:15:00",0.747000035481,0.382062887817
"2089",2089,70,2013,3,"2013-03-27 13:55:00",0.238000011304,0.187564348759
"2090",2090,70,2013,3,"2013-03-29 13:45:00",0.135000006412,0.0861790991623
"2091",2091,70,2013,3,"2013-03-30 12:50:00",0.288000013679,0.186843750473
"2092",2092,70,2013,3,"2013-03-31 13:30:00",0.570000027074,0.155932998588
"2093",2093,70,2013,4,"2013-04-16 13:30:00",0.17600000836,0.163225918456
"2094",2094,70,2013,4,"2013-04-19 14:05:00",0.428000020329,0.295631982422
"2095",2095,70,2013,5,"2013-05-01 12:50:00",0.142000006745,0.0420501602591
"2096",2096,70,2013,5,"2013-05-14 13:55:00",0.248000011779,0.0950508452836
"2097",2097,70,2013,5,"2013-05-27 13:25:00",0.308500014653,0.065048254919
"2098",2098,70,2014,2,"2014-02-27 13:00:00",0.178000008455,0.137731839276
"2099",2099,70,2014,2,"2014-02-28 13:45:00",0.330000015674,0.141717219791
"2100",2100,70,2014,3,"2014-03-02 13:30:00",0.538000025554,0.472910157783
"2101",2101,70,2014,3,"2014-03-04 13:20:00",0.349000016577,0.218195584905
"2102",2102,70,2014,3,"2014-03-08 12:55:00",0.432000020519,0.267974719155
"2103",2103,70,2014,3,"2014-03-12 14:10:00",0.396500018833,0.242991086404
"2104",2104,70,2014,3,"2014-03-13 13:15:00",0.587000027881,0.335426756575
"2105",2105,70,2014,3,"2014-03-15 13:00:00",0.171000008122,0.143705986614
"2106",2106,70,2014,3,"2014-03-17 12:50:00",0.247000011732,0.158743301906
"2107",2107,70,2014,3,"2014-03-22 13:05:00",0.504000023939,0.341556284935
"2108",2108,70,2014,3,"2014-03-29 13:15:00",0.403500019165,0.105866801293
"2109",2109,70,2014,3,"2014-03-31 13:00:00",0.291000013822,0.0776603701139
"2110",2110,70,2014,4,"2014-04-03 13:30:00",0.204000009689,0.0923365773987
"2111",2111,70,2014,4,"2014-04-08 13:50:00",0.19200000912,0.24428169383
"2112",2112,70,2014,4,"2014-04-13 14:10:00",0.414000019664,0.256368381871
"2113",2113,70,2014,4,"2014-04-21 13:20:00",0.436500020733,0.262689883599
"2114",2114,70,2014,4,"2014-04-22 14:00:00",0.420000019949,0.273958538792
"2115",2115,70,2014,4,"2014-04-23 13:05:00",0.328000015579,0.181144673172
"2116",2116,70,2014,4,"2014-04-24 13:50:00",0.137500006531,0.104038071638
"2117",2117,70,2014,4,"2014-04-26 13:40:00",0.145000006887,0.151856378408
"2118",2118,70,2014,5,"2014-05-04 12:50:00",0.171000008122,0.138611373254
"2119",2119,70,2014,5,"2014-05-05 13:30:00",0.279000013252,0.115751983395
"2120",2120,70,2014,5,"2014-05-10 13:50:00",0.0910000043223,0.0815620857341
"2121",2121,70,2014,7,"2014-07-01 13:25:00",0.110500005248,0.0649388241609
"2122",2122,70,2015,1,"2015-01-30 13:45:00",2.72800012957,0.67229616748
"2123",2123,70,2015,1,"2015-01-31 12:50:00",0.350000016624,0.28706794015
"2124",2124,70,2015,2,"2015-02-01 13:30:00",0.321000015247,0.133546680353
"2125",2125,70,2015,2,"2015-02-06 13:50:00",0.377000017907,0.185135027576
"2126",2126,70,2015,2,"2015-02-22 13:50:00",0.0930000044173,0.096105005756
"2127",2127,70,2015,2,"2015-02-23 12:55:00",0.200000009499,0.321706579375
"2128",2128,70,2015,3,"2015-03-02 13:00:00",0.352000016719,0.138016568389
"2129",2129,70,2015,3,"2015-03-04 12:50:00",0.68550003256,0.932087542192
"2130",2130,70,2015,3,"2015-03-05 13:30:00",0.536000025459,0.446571926694
"2131",2131,70,2015,3,"2015-03-07 13:20:00",0.594000028213,0.359939128096
"2132",2132,70,2015,3,"2015-03-16 13:15:00",0.450500021398,0.322657124328
"2133",2133,70,2015,3,"2015-03-18 13:00:00",0.721000034246,0.567450214831
"2134",2134,70,2015,3,"2015-03-19 13:45:00",0.974000046263,0.95752880898
"2135",2135,70,2015,3,"2015-03-20 12:50:00",0.785000037285,0.799420193941
"2136",2136,70,2015,3,"2015-03-23 13:20:00",0.668000031728,0.343265989727
"2137",2137,70,2015,3,"2015-03-24 14:00:00",0.492000023369,0.254578765781
"2138",2138,70,2015,3,"2015-03-25 13:05:00",0.32950001565,0.20243344152
"2139",2139,70,2015,4,"2015-04-04 13:45:00",0.314500014938,0.294791491529
"2140",2140,70,2015,4,"2015-04-05 12:50:00",0.097500004631,0.118124947791
"2141",2141,70,2015,4,"2015-04-06 13:30:00",0.68150003237,0.176318583423
"2142",2142,70,2015,4,"2015-04-09 14:00:00",1.62700007728,0.29687706381
"2143",2143,70,2015,4,"2015-04-15 13:25:00",0.647000030731,0.305866820063
"2144",2144,70,2015,4,"2015-04-18 13:55:00",0.610000028973,0.384573798397
"2145",2145,70,2015,4,"2015-04-19 13:00:00",0.702000033343,0.390515307028
"2146",2146,70,2015,4,"2015-04-20 13:45:00",0.243000011542,0.431052352741
"2147",2147,70,2015,4,"2015-04-29 13:40:00",0.813000038615,0.248409951106
"2148",2148,70,2015,5,"2015-05-01 13:25:00",0.729000034626,0.251911505585
"2149",2149,70,2015,5,"2015-05-04 13:55:00",0.473000022466,0.200055245044
"2150",2150,70,2015,5,"2015-05-05 13:00:00",0.472000022419,0.296457601934
"2151",2151,70,2015,5,"2015-05-06 13:45:00",0.118000005605,0.0972623999348
"2152",2152,70,2015,5,"2015-05-15 13:40:00",0.0770000036573,0.0830669947615
"2153",2153,70,2015,5,"2015-05-19 13:15:00",0.478000022704,0.127427629909
"2154",2154,70,2015,5,"2015-05-29 13:50:00",0.397000018856,0.114693227245
"2155",2155,70,2015,6,"2015-06-04 13:15:00",0.251000011922,0.0935248947134
"2156",2156,70,2015,6,"2015-06-29 13:05:00",0.619000029401,0.30099971375
"2157",2157,70,2015,7,"2015-07-22 13:15:00",0.219000010402,0.0997570814705
"2158",2158,70,2015,7,"2015-07-24 13:00:00",0.0990000047022,0.0848335447052
"2159",2159,70,2015,8,"2015-08-27 12:50:00",0.162000007695,0.0770003651655
"2160",2160,71,2012,2,"2012-02-25 13:35:00",1.35700006445,1.14183512383
"2161",2161,71,2012,4,"2012-04-01 13:10:00",1.44250006852,1.14833976106
"2162",2162,71,2012,4,"2012-04-20 13:40:00",0.751000035671,1.20246864654
"2163",2163,71,2012,4,"2012-04-24 13:15:00",0.644500030612,0.552714855242
"2164",2164,71,2012,4,"2012-04-25 14:00:00",0.360000017099,0.386102749844
"2165",2165,71,2012,4,"2012-04-26 13:05:00",0.91500004346,0.867945886065
"2166",2166,71,2012,5,"2012-05-01 13:20:00",0.379500018025,0.315598035717
"2167",2167,71,2012,5,"2012-05-03 13:10:00",0.598500028427,0.557165444237
"2168",2168,71,2012,5,"2012-05-04 13:55:00",0.619000029401,0.563926660753
"2169",2169,71,2012,5,"2012-05-16 12:40:00",0.361000017147,0.300339641889
"2170",2170,71,2012,6,"2012-06-17 12:40:00",2.17100010312,1.64432326559
"2171",2171,71,2012,6,"2012-06-18 13:20:00",2.02650009625,2.36024130698
"2172",2172,71,2012,8,"2012-08-03 13:35:00",0.690500032797,0.588792540994
"2173",2173,71,2012,8,"2012-08-04 12:40:00",0.765500036359,0.479775211582
"2174",2174,71,2012,8,"2012-08-29 12:35:00",0.48150002287,1.26411085569
"2175",2175,71,2012,9,"2012-09-02 13:45:00",0.410500019498,0.168954747603
"2176",2176,71,2012,9,"2012-09-29 13:25:00",0.99900004745,1.00628658074
"2177",2177,71,2012,9,"2012-09-29 13:30:00",0.905000042985,1.00628658074
"2178",2178,71,2012,9,"2012-09-30 12:35:00",0.850000040373,0.611206619903
"2179",2179,71,2012,10,"2012-10-01 13:15:00",0.715000033961,0.437691263035
"2180",2180,71,2012,10,"2012-10-11 13:50:00",1.09400005196,1.13094171588
"2181",2181,71,2012,10,"2012-10-23 12:40:00",0.800000037998,1.43423290264
"2182",2182,71,2012,10,"2012-10-31 13:25:00",0.520500024722,0.398107061815
"2183",2183,71,2012,11,"2012-11-01 12:35:00",0.682000032393,0.518887718667
"2184",2184,71,2012,11,"2012-11-08 12:40:00",0.320000015199,0.188698122612
"2185",2185,71,2012,11,"2012-11-12 13:50:00",0.508000024129,0.451253986849
