stationid,Year,Month,Aqstime,Sate_AOD,AERONET_AOD
70,2012,6,6/25/2012 10:25,0.432000021,0.219408273
70,2013,1,1/12/2013 10:15,0.506000024,0.418716508
70,2013,1,1/26/2013 10:30,0.735000035,0.456455479
70,2013,1,1/28/2013 10:15,0.478500023,0.33252344
70,2013,1,1/29/2013 11:00,0.489500023,0.429434258
70,2013,2,2/1/2013 9:55,0.946000045,0.21368747
70,2013,2,2/5/2013 11:05,0.21400001,0.127913162
70,2013,3,3/29/2013 10:40,0.20100001,0.109423002
70,2014,3,3/11/2014 10:25,0.746000035,0.382895256
70,2014,4,4/8/2014 10:50,0.596000028,0.245074365
70,2014,5,5/12/2014 10:35,0.253000012,0.095474274
70,2015,2,2/1/2015 10:30,0.929000044,0.665023848
70,2015,2,2/6/2015 10:50,0.334500016,0.274913298
70,2015,2,2/8/2015 10:35,0.41700002,0.290583901
70,2015,3,3/18/2015 10:00,0.879000042,0.534342612
70,2015,3,3/19/2015 10:40,0.803000038,0.676162422
70,2015,5,5/4/2015 10:55,0.178000008,0.128865361
70,2015,5,5/6/2015 10:40,0.21000001,0.112379437
70,2015,6,6/30/2015 10:50,0.379000018,0.097287469
70,2015,7,7/22/2015 10:10,0.145500007,0.097597261
70,2015,7,7/24/2015 10:00,0.128000006,0.083297671
70,2015,9,9/3/2015 9:55,1.248000059,0.417734315
71,2012,4,4/2/2012 10:45,1.953000093,2.267399458
71,2012,4,4/24/2012 10:10,0.773500037,0.812565796
71,2012,4,4/25/2012 10:50,0.41600002,0.37948822
71,2012,5,5/1/2012 10:15,0.394000019,0.307213245
71,2012,5,5/4/2012 10:45,0.798500038,0.58948241
71,2012,5,5/16/2012 11:10,0.318000015,0.261912624
71,2012,6,6/18/2012 10:15,2.213000105,2.263669558
71,2012,8,8/3/2012 10:25,0.720000034,0.59057139
71,2012,8,8/4/2012 11:10,0.440000021,0.459550782
71,2012,9,9/29/2012 10:20,0.990000047,0.863142441
71,2012,9,9/30/2012 11:05,0.620000029,0.525162569
71,2012,10,10/18/2012 10:50,1.000000048,0.877841697
71,2012,11,11/1/2012 11:05,0.693000033,0.414024473
71,2012,11,11/2/2012 10:05,0.827000039,0.555287117
71,2012,11,11/17/2012 11:05,0.295000014,0.259605488
71,2013,5,5/16/2013 10:40,0.238500011,0.138475828
71,2014,1,1/15/2014 10:15,0.914000043,0.729193094
71,2014,1,1/18/2014 10:45,1.507500072,1.198275623
71,2014,6,6/2/2014 10:50,0.21400001,0.199743423
71,2014,9,9/26/2014 10:25,1.149000055,0.989705799
71,2014,10,10/3/2014 10:35,1.038000049,1.211806096
71,2014,10,10/6/2014 11:05,0.696000033,0.651405751
71,2014,10,10/7/2014 10:10,0.988500047,0.655527077
71,2014,10,10/12/2014 10:25,1.036000049,0.910947906
71,2014,10,10/13/2014 11:10,1.414000067,1.159269076
71,2014,10,10/14/2014 10:15,1.487500071,1.351530816
71,2014,10,10/15/2014 9:15,0.697000033,1.003595942
71,2014,10,10/15/2014 10:55,0.198000009,0.974038118
71,2014,11,11/20/2014 10:30,0.790000038,0.637436436
71,2014,11,11/20/2014 10:35,0.859500041,0.637436436
71,2014,12,12/8/2014 10:20,0.595000028,0.403421884
71,2014,12,12/15/2014 10:25,1.082000051,0.949141427
71,2014,12,12/17/2014 10:15,0.467000022,0.303337305
71,2014,12,12/22/2014 10:35,0.745000035,0.555716057
71,2014,12,12/23/2014 11:15,1.110000053,0.799203418
71,2014,12,12/29/2014 10:40,0.686000033,0.569526955
71,2015,1,1/13/2015 9:55,0.444500021,0.306211812
71,2015,1,1/14/2015 10:40,0.64200003,0.460051601
71,2015,1,1/17/2015 11:10,1.103000052,0.659819663
71,2015,4,4/4/2015 10:40,0.83900004,0.844105497
71,2015,4,4/15/2015 10:20,0.569500027,0.481987236
71,2015,4,4/20/2015 10:40,0.743000035,0.765962408
71,2015,5,5/2/2015 11:05,0.768000036,0.616130807
71,2015,5,5/26/2015 10:15,0.654000031,0.467126402
71,2015,7,7/9/2015 10:40,0.62300003,0.477517182
71,2015,7,7/12/2015 11:10,0.577000027,0.39736722
71,2015,8,8/10/2015 10:40,0.857500041,0.756115992
71,2015,8,8/21/2015 10:20,0.449000021,0.280268129
