"","X","stationid","Year","Month","Aqstime","Sate_AOD","AERONET_AOD"
"2091",2091,70,2012,3,"2012-03-01 10:50:00",0.12400000589,0.0802291525772
"2092",2092,70,2012,3,"2012-03-18 09:55:00",0.369000017527,0.184232799036
"2093",2093,70,2012,4,"2012-04-23 11:05:00",0.301000014297,0.0830309312197
"2094",2094,70,2012,5,"2012-05-03 10:05:00",0.130000006175,0.132079518446
"2095",2095,70,2012,5,"2012-05-04 10:50:00",0.498000023654,0.100250000796
"2096",2096,70,2012,6,"2012-06-11 10:10:00",0.284000013489,0.103817809919
"2097",2097,70,2012,6,"2012-06-14 10:40:00",0.254000012064,0.230838303471
"2098",2098,70,2012,6,"2012-06-25 10:25:00",0.435500020685,0.219408273155
"2099",2099,70,2012,10,"2012-10-11 10:45:00",0.9390000446,0.311099549825
"2100",2100,70,2012,12,"2012-12-11 10:15:00",0.343000016292,0.368578574492
"2101",2101,70,2013,1,"2013-01-12 10:15:00",0.567000026931,0.418716508455
"2102",2102,70,2013,1,"2013-01-16 09:55:00",0.488000023179,0.38156961881
"2103",2103,70,2013,1,"2013-01-25 09:45:00",0.535000025411,0.284914284536
"2104",2104,70,2013,1,"2013-01-26 10:30:00",0.788000037428,0.45645547948
"2105",2105,70,2013,1,"2013-01-28 10:15:00",0.452000021469,0.332523439715
"2106",2106,70,2013,1,"2013-01-29 11:00:00",0.456000021659,0.429434258471
"2107",2107,70,2013,2,"2013-02-01 09:55:00",0.417000019806,0.213687470261
"2108",2108,70,2013,2,"2013-02-05 11:05:00",0.085500004061,0.127913162094
"2109",2109,70,2013,2,"2013-02-13 10:15:00",0.316000015009,0.137646180067
"2110",2110,70,2013,3,"2013-03-05 09:55:00",0.504500023962,0.238872336577
"2111",2111,70,2013,3,"2013-03-13 10:40:00",0.57350002724,0.375954744477
"2112",2112,70,2013,3,"2013-03-26 10:10:00",0.950000045123,0.528997931848
"2113",2113,70,2013,3,"2013-03-28 10:00:00",0.153000007267,0.062066637661
"2114",2114,70,2013,3,"2013-03-29 10:40:00",0.248500011803,0.109423001998
"2115",2115,70,2013,3,"2013-03-30 09:45:00",0.194000009215,0.202667156951
"2116",2116,70,2013,5,"2013-05-02 10:30:00",0.620000029448,0.0969019455557
"2117",2117,70,2013,5,"2013-05-27 10:25:00",0.379000018002,0.0597016539977
"2118",2118,70,2014,2,"2014-02-21 10:35:00",0.422500020068,0.182548489327
"2119",2119,70,2014,2,"2014-02-27 10:00:00",0.466000022134,0.188009834372
"2120",2120,70,2014,2,"2014-02-28 10:40:00",0.110000005225,0.127856509142
"2121",2121,70,2014,3,"2014-03-11 10:25:00",0.549000026076,0.382895256075
"2122",2122,70,2014,3,"2014-03-31 10:00:00",0.151000007172,0.0915096740576
"2123",2123,70,2014,4,"2014-04-08 10:50:00",0.596000028308,0.245074364579
"2124",2124,70,2014,4,"2014-04-09 09:55:00",0.117000005557,0.139028359442
"2125",2125,70,2014,4,"2014-04-24 10:50:00",0.243000011542,0.136637993595
"2126",2126,70,2014,5,"2014-05-12 10:35:00",0.253000012017,0.0954742740243
"2127",2127,70,2014,5,"2014-05-26 10:50:00",0.249000011827,0.0958903064956
"2128",2128,70,2014,6,"2014-06-24 10:20:00",0.627000029781,0.184737873767
"2129",2129,70,2014,8,"2014-08-09 10:30:00",0.490500023297,0.109312457007
"2130",2130,70,2014,8,"2014-08-15 09:55:00",0.630000029923,0.193577116485
"2131",2131,70,2015,2,"2015-02-01 10:30:00",0.865500041109,0.665023847839
"2132",2132,70,2015,2,"2015-02-06 10:50:00",0.278000013204,0.274913298472
"2133",2133,70,2015,2,"2015-02-08 10:35:00",0.410000019474,0.290583900742
"2134",2134,70,2015,2,"2015-02-12 10:10:00",0.431000020471,0.375998996943
"2135",2135,70,2015,2,"2015-02-26 10:25:00",0.146000006935,0.141967827296
"2136",2136,70,2015,3,"2015-03-15 11:05:00",0.452000021469,0.429937463903
"2137",2137,70,2015,3,"2015-03-16 10:10:00",0.298000014154,0.261543879446
"2138",2138,70,2015,3,"2015-03-18 10:00:00",0.824000039138,0.534342612412
"2139",2139,70,2015,3,"2015-03-19 10:40:00",0.793000037665,0.67616242182
"2140",2140,70,2015,3,"2015-03-25 10:05:00",0.435000020661,0.1738162428
"2141",2141,70,2015,4,"2015-04-03 10:00:00",0.521000024746,0.273356125966
"2142",2142,70,2015,5,"2015-05-04 10:55:00",0.147000006982,0.128865361291
