"Year","Aqstime","Sate_AOD","AERONET_AOD"
2013,"2013-03-14 13:34:37",0.637737095356,0.990594695728
2013,"2013-03-15 13:11:27",0.897767305374,1.23880182692
2013,"2013-03-17 14:18:52",0.60080575943,0.785721485827
2013,"2013-03-19 13:38:10",0.634379684925,0.693415762423
2013,"2013-03-20 13:20:39",0.825079709291,1.1625937802
2013,"2013-03-21 13:03:11",0.742068141699,1.00382118109
2013,"2013-03-23 10:40:03",0.149907648563,1.15583100034
2013,"2013-03-23 14:04:54",0.365955978632,0.662548879869
2013,"2013-03-24 13:47:24",0.590901434422,0.621855171769
2013,"2013-03-26 13:06:43",1.31097865105,2.93456671355
2013,"2013-03-28 12:31:43",1.10139322281,0.961712650325
2013,"2013-03-28 14:08:27",0.71630012989,1.25304146866
2013,"2013-03-29 13:50:56",1.5113312006,1.32041545101
2013,"2013-03-30 13:33:26",0.929830431938,1.50060393435
2014,"2014-03-05 14:03:38",0.679956316948,1.1059809018
2014,"2014-03-06 13:46:08",0.745509445667,1.17179926208
2014,"2014-03-07 13:22:56",0.757679998875,1.35150280916
2014,"2014-03-08 13:05:25",1.18079566956,1.02897200366
2014,"2014-03-11 13:49:40",0.751384913921,1.14654435224
2014,"2014-03-12 13:32:10",0.561188459396,0.810116743069
2014,"2014-03-13 13:14:40",1.01695477962,1.19420962327
2014,"2014-03-18 13:18:12",0.433775365353,0.813313658482
2014,"2014-03-19 13:00:42",1.8720831871,1.57223967154
2014,"2014-03-20 12:43:12",0.512170538306,1.93605677811
2014,"2014-03-24 13:04:15",0.349672615528,0.406739581059
2014,"2014-03-25 12:46:45",0.373677998781,0.418533755528
2014,"2014-03-27 13:48:28",0.670135915279,0.94404546731
2014,"2014-03-29 13:13:29",0.750377655029,1.02362783937
2014,"2014-03-30 12:55:59",1.61692118645,1.32446242467
2014,"2014-03-31 12:32:47",1.23182809353,1.53351272672
2014,"2014-03-31 14:15:13",0.671478927135,1.74446500188
2014,"2014-04-02 13:40:12",1.37023663521,2.10128464587
2014,"2014-04-02 13:40:12",1.37023663521,2.10128464587
2014,"2014-04-03 13:17:02",1.3481618166,2.07536190702
2014,"2014-04-03 13:17:02",1.3481618166,2.07536190702
2014,"2014-04-06 14:01:15",0.630854427814,0.723491889034
2014,"2014-04-06 14:01:15",0.630854427814,0.723491889034
2014,"2014-04-07 13:43:45",0.221588030457,0.492410327482
2014,"2014-04-07 13:43:45",0.221588030457,0.492410327482
2014,"2014-04-13 13:29:47",1.41547751427,1.64227689098
2014,"2014-04-13 13:29:47",1.41547751427,1.64227689098
2014,"2014-04-14 13:12:17",1.03886175156,1.41662319087
2014,"2014-04-14 13:12:17",1.03886175156,1.41662319087
2014,"2014-04-16 12:37:18",0.755078017712,1.04528146612
2014,"2014-04-16 12:37:18",0.755078017712,1.04528146612
2014,"2014-04-26 12:50:03",0.362430721521,0.534106073702
2014,"2014-04-26 12:50:03",0.362430721521,0.534106073702
2014,"2014-05-22 13:01:38",0.192378684878,0.233312231271
2014,"2014-05-25 13:45:51",0.175255984068,0.278731449412
2014,"2014-05-30 13:55:06",0.110877938569,0.145492312743
2015,"2015-04-07 13:00:36",0.840859472752,1.22833882835
2015,"2015-04-07 13:00:36",0.840859472752,1.22833882835
2015,"2015-04-13 12:46:38",0.170387759805,0.2332191836
2015,"2015-04-13 12:46:38",0.170387759805,0.2332191836
2015,"2015-04-14 12:29:08",0.125398665667,0.185549051921
2015,"2015-04-14 12:29:08",0.125398665667,0.185549051921
2015,"2015-04-14 14:11:34",0.0490179434419,0.179598537899
2015,"2015-04-14 14:11:34",0.0490179434419,0.179598537899
2015,"2015-04-15 13:54:03",0.111969090998,0.325857836361
2015,"2015-04-15 13:54:03",0.111969090998,0.325857836361
2015,"2015-04-16 13:30:52",0.316098690033,0.708720563736
2015,"2015-04-16 13:30:52",0.316098690033,0.708720563736
2015,"2015-04-20 13:57:36",0.114990748465,0.314234830333
